Año Reporte;Nivel Formacion;Tipo de oferta;Codigo Programa;Programa de Formación;Red Tecnológica;Tasa Vinculación Laboral;Tasa Contrato de Aprendizaje;Tasa Demanda Social
2025;Técnologo;Abierta;821620;GESTION DEL MANTENIMIENTO DE AUTOMOTORES.;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,569161922;0,367127332;0,297076219
2025;Técnologo;Abierta;821620;GESTION DEL MANTENIMIENTO DE AUTOMOTORES.;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,569161922;0,367127332;0,297076219
2025;Técnologo;Abierta;226701;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnologo;Abierta;228108;DESARROLLO DE VIDEOJUEGOS Y ENTORNOS INTERACTIVOS;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;0,430693834;0,313344679;0,207666705
2025;Técnologo;Abierta;922717;GESTION DE RECURSOS DE PLANTA DE PRODUCCION;Tecnologias__de_produccion_industrial;0,610037229;0,788624716;0,165836187
2025;Técnologo;Abierta;224201;DESARROLLO DE SISTEMAS ELECTRONICOS INDUSTRIALES;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,569161922;0,367127332;0,297076219
2025;Técnologo;Abierta;224201;DESARROLLO DE SISTEMAS ELECTRONICOS INDUSTRIALES;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,569161922;0,367127332;0,297076219
2025;Técnologo;Abierta;821222;ELECTRICIDAD INDUSTRIAL;Tecnologias__de_produccion_industrial;0,77190809;0,613660666;0,172585788
2025;Técnologo;Abierta;226701;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnologo;Abierta;524300;DESARROLLO DE COLECCIONES PARA LA INDUSTRIA DE LA MODA;Diseno_de_modas_y_confecciones;1;0;0,166786251
2025;Técnologo;Abierta;226701;COORDINACION EN SISTEMAS INTEGRADOS DE GESTION;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnologo;Abierta;225219;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnologo;Abierta;225219;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnologo;Abierta;225219;DIBUJO Y MODELADO ARQUITECTONICO Y DE INGENIERIA;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnologo;Abierta;223104;CONSTRUCCION EN EDIFICACIONES;Materiales_para_la_construccion;0,590909091;0,205194805;0,248889887
2025;Técnologo;Abierta;223107;CONSTRUCCION DE INFRAESTRUCTURA VIAL;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnologo;Abierta;225311;LEVANTAMIENTOS TOPOGRAFICOS Y GEORREFERENCIACION;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnologo;Abierta;821100; PRODUCCIÓN DE ELEMENTOS MECÁNICOS CON MAQUINAS Y HERRAMIENTAS CNC ;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnologo;Abierta;223213;MANTENIMIENTO ELECTROMECANICO INDUSTRIAL;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,569161922;0,367127332;0,297076219
2025;Técnologo;Abierta;228183;GESTION DE REDES DE DATOS;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;0,558400549;0,464148152;0,171585443
2025;Técnologo;Abierta;821203;IMPLEMENTACION DE REDES Y SERVICIOS DE TELECOMUNICACIONES;Tecnologías de la información y las comunicaciones;0,805555567;0,277777767;0
